CodigoIBGE;NOME_MUNICIPIO;LONGITUDE;LATITUDE
5200050;ABADIA DE GOIÁS;-49,440548;-16,758812
3100104;ABADIA DOS DOURADOS;-47,396832;-18,487565
5200100;ABADIÂNIA;-48,718812;-16,182672
3100203;ABAETÉ;-45,446191;-19,155848
1500107;ABAETETUBA;-48,884404;-1,72347
2300101;ABAIARA;-39,047547;-7,356977
2900108;ABAÍRA;-41,661608;-13,253532
2900207;ABARÉ;-39,116588;-8,723418
4100103;ABATIÁ;-50,312527;-23,300494
4200051;ABDON BATISTA;-51,025272;-27,608987
1500131;ABEL FIGUEIREDO;-48,396762;-4,951391
4200101;ABELARDO LUZ;-52,336482;-26,563031
3100302;ABRE CAMPO;-42,48099;-20,301445
2600054;ABREU E LIMA;-34,899131;-7,904449
1700251;ABREULÂNDIA;-49,162438;-9,621791
3100401;ACAIACA;-43,148239;-20,360409
2100055;AÇAILÂNDIA;-47,506665;-4,951377
2900306;ACAJUTIBA;-38,018286;-11,662613
1500206;ACARÁ;-48,200456;-1,963437
2300150;ACARAPE;-38,705624;-4,223138
2300200;ACARAÚ;-40,118241;-2,885311
2400109;ACARI;-36,643739;-6,442085
2200053;ACAUÃ;-41,083638;-8,220787
4300034;ACEGUÁ;-54,164732;-31,864015
2300309;ACOPIARA;-39,455705;-6,092762
5100102;ACORIZAL;-56,371553;-15,19789
1200013;ACRELÂNDIA;-67,052317;-10,073794
5200134;ACREÚNA;-50,374973;-17,398156
2400208;AÇU;-36,917923;-5,571946
3100500;AÇUCENA;-42,546211;-19,076713
3500105;ADAMANTINA;-51,073365;-21,688311
5200159;ADELÂNDIA;-50,163147;-16,415002
3500204;ADOLFO;-49,649721;-21,23273
4100202;ADRIANÓPOLIS;-48,991755;-24,66169
2900355;ADUSTINA;-38,115506;-10,529572
2600104;AFOGADOS DA INGAZEIRA;-37,637686;-7,748328
2400307;AFONSO BEZERRA;-36,509148;-5,498734
3200102;AFONSO CLÁUDIO;-41,12546;-20,07704
2100105;AFONSO CUNHA;-43,320869;-4,135015
2600203;AFRÂNIO;-41,005797;-8,511091
1500305;AFUÁ;-50,391428;-0,159172
2600302;AGRESTINA;-35,946777;-8,455973
2200103;AGRICOLÂNDIA;-42,659183;-5,795502
4200200;AGROLÂNDIA;-49,825653;-27,400517
4200309;AGRONÔMICA;-49,718369;-27,269716
1500347;ÁGUA AZUL DO NORTE;-50,485275;-6,804949
3100609;ÁGUA BOA;-42,389643;-17,991053
5100201;ÁGUA BOA;-52,158915;-14,049087
2200202;ÁGUA BRANCA;-42,635131;-5,893266
2500106;ÁGUA BRANCA;-37,642209;-7,51107
2700102;ÁGUA BRANCA;-37,940715;-9,267025
