MUNICIPIO_RESIDENCIA;NUM_CASOS;DATA;CodigoIBGE;URS;Micro;Macro
ABADIA DOS DOURADOS;1;25/04/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;4;15/05/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;15/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;16/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;17/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;1;18/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;19/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;20/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;21/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;7;22/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;23/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;2;24/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;3;25/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;2;26/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;2;27/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;28/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;8;29/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;5;30/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;3;31/07/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;3;01/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;1;02/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;2;03/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;04/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;1;05/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;1;06/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;1;07/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;1;08/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;09/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;10/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;11/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;12/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;1;13/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;14/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;15/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;16/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;17/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;18/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;19/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;20/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;1;21/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;22/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;23/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;24/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;25/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABADIA DOS DOURADOS;0;26/08/2020;310010;UBERLANDIA;PATROCINIO/MONTE CARMELO;TRIANGULO DO NORTE
ABAETE;1;11/04/2020;310020;SETE LAGOAS;SETE LAGOAS;CENTRO
ABAETE;1;17/06/2020;310020;SETE LAGOAS;SETE LAGOAS;CENTRO
ABAETE;6;26/06/2020;310020;SETE LAGOAS;SETE LAGOAS;CENTRO
ABAETE;2;27/06/2020;310020;SETE LAGOAS;SETE LAGOAS;CENTRO
ABAETE;2;30/06/2020;310020;SETE LAGOAS;SETE LAGOAS;CENTRO
ABAETE;2;01/07/2020;310020;SETE LAGOAS;SETE LAGOAS;CENTRO
ABAETE;2;03/07/2020;310020;SETE LAGOAS;SETE LAGOAS;CENTRO
ABAETE;1;05/07/2020;310020;SETE LAGOAS;SETE LAGOAS;CENTRO
ABAETE;3;08/07/2020;310020;SETE LAGOAS;SETE LAGOAS;CENTRO
ABAETE;1;10/07/2020;310020;SETE LAGOAS;SETE LAGOAS;CENTRO
ABAETE;1;12/07/2020;310020;SETE LAGOAS;SETE LAGOAS;CENTRO
ABAETE;0;15/07/2020;310020;SETE LAGOAS;SETE LAGOAS;CENTRO
ABAETE;0;16/07/2020;310020;SETE LAGOAS;SETE LAGOAS;CENTRO
ABAETE;0;17/07/2020;310020;SETE LAGOAS;SETE LAGOAS;CENTRO
ABAETE;0;18/07/2020;310020;SETE LAGOAS;SETE LAGOAS;CENTRO
